Date,tn,tx,rh,ff,sr,rr,tn_QC,tx_QC,rh_QC,ff_QC,sr_QC,rr_QC
1997-04-01,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-02,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-03,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-04,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-05,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-06,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-07,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-08,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-09,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-10,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-11,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-12,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-13,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-14,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-15,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-16,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-17,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-18,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-19,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-20,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-21,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-22,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-23,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-24,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-25,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-26,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-27,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-28,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-29,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-04-30,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-01,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-02,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-03,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-04,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-05,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-06,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-07,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-08,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-09,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-10,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-11,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-12,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-13,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-14,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-15,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-16,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-17,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-18,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-19,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-20,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-21,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-22,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-23,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-24,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-25,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-26,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-27,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-28,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-29,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-30,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-05-31,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-01,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-02,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-03,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-04,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-05,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-06,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-07,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-08,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-09,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-10,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-11,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-12,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-13,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-14,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-15,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-16,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-17,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-18,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-19,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-20,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-21,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-22,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-23,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-24,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-25,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-26,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-27,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-28,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-29,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-06-30,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-01,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-02,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-03,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-04,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-05,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-06,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-07,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-08,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-09,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-10,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-11,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-12,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-13,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-14,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-15,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-16,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-17,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-18,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-19,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-20,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-21,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-22,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-23,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-24,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-25,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-26,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-27,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-28,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-29,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-30,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-07-31,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-08-01,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-08-02,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-08-03,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
