Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2007-05-28,8.33,8.89,,76.35,8.025,311.9,1,1,0,1,1,1
2007-05-29,6.11,12.78,,82.37083333333332,5.34,2035.4,1,1,0,1,1,1
2007-05-30,5.56,18.89,,71.91250000000001,2.615,5868.599999999999,1,1,0,1,1,1
2007-05-31,3.89,22.22,,66.11666666666666,1.88,6590.8,1,1,0,1,1,1
2007-06-01,7.22,23.89,,56.69166666666667,1.88,6730.6,1,1,0,1,1,1
2007-06-02,10.56,24.44,,62.433333333333344,2.06,2623.2,1,1,0,1,1,1
2007-06-03,,,,,,0.0,0,0,0,0,0,1
2007-06-04,23.89,26.67,,33.416666666666664,3.3049999999999997,3834.2000000000003,1,1,0,1,1,1
2007-06-05,12.78,26.11,,58.26666666666667,2.57,4897.4,1,1,0,1,1,1
2007-06-06,8.89,20.0,,74.92083333333333,5.765,1856.5000000000002,1,1,0,1,1,1
2007-06-07,5.56,16.67,,80.09166666666665,3.96,3592.4,1,1,0,1,1,1
2007-06-08,8.33,20.0,,55.23333333333333,5.675,4602.2,1,1,0,1,1,1
2007-06-09,7.78,21.67,,47.98333333333334,3.6,5518.5,1,1,0,1,1,1
2007-06-10,12.78,21.67,,54.37916666666669,2.485,4258.900000000001,1,1,0,1,1,1
2007-06-11,10.0,20.56,,45.51250000000001,4.449999999999999,6042.9,1,1,0,1,1,1
2007-06-12,7.22,20.56,,37.69583333333333,4.25,6702.499999999999,1,1,0,1,1,1
2007-06-13,8.89,21.11,,36.083333333333336,2.3,3263.7,1,1,0,1,1,1
2007-06-14,10.56,21.11,,38.160869565217396,4.6,5822.700000000001,1,1,0,1,1,1
2007-06-15,2.78,19.44,,62.40416666666665,2.235,5886.8,1,1,0,1,1,1
2007-06-16,7.78,20.0,,59.054166666666674,1.47,4111.9,1,1,0,1,1,1
2007-06-17,7.78,14.44,,72.02499999999999,4.915,3563.2,1,1,0,1,1,1
2007-06-18,7.78,19.44,,65.85,6.01,5488.8,1,1,0,1,1,1
2007-06-19,5.56,25.0,,47.07499999999999,2.95,6316.799999999999,1,1,0,1,1,1
2007-06-20,12.22,28.89,,35.25000000000001,1.7,6380.3,1,1,0,1,1,1
2007-06-21,12.78,28.89,,54.01666666666667,3.465,4967.9,1,1,0,1,1,1
2007-06-22,12.22,31.11,,40.80000000000001,2.55,6234.0,1,1,0,1,1,1
