Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2016-06-09,16.11,16.11,,,,0.0,1,1,0,0,0,1
2016-06-10,11.67,11.67,,,,0.0,1,1,0,0,0,1
2016-06-11,13.89,13.89,,,,0.0,1,1,0,0,0,1
2016-06-12,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-06-13,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-06-14,13.89,13.89,,,,0.0,1,1,0,0,0,1
2016-06-15,8.89,8.89,,,,0.0,1,1,0,0,0,1
2016-06-16,11.11,11.11,,,,0.0,1,1,0,0,0,1
2016-06-17,10.56,10.56,,,,0.0,1,1,0,0,0,1
2016-06-18,16.67,16.67,,,,0.0,1,1,0,0,0,1
2016-06-19,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-06-20,11.67,11.67,,,,0.0,1,1,0,0,0,1
2016-06-21,18.33,18.33,,,,0.0,1,1,0,0,0,1
2016-06-22,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-06-23,17.78,17.78,,,,0.0,1,1,0,0,0,1
2016-06-24,16.11,16.11,,,,0.0,1,1,0,0,0,1
2016-06-25,10.56,10.56,,,,0.0,1,1,0,0,0,1
2016-06-26,15.0,15.0,,,,0.0,1,1,0,0,0,1
2016-06-27,,,,,,0.0,0,0,0,0,0,1
2016-06-28,14.44,14.44,,,,0.0,1,1,0,0,0,1
2016-06-29,16.11,16.11,,,,0.0,1,1,0,0,0,1
2016-06-30,20.0,20.0,,,,0.0,1,1,0,0,0,1
2016-07-01,16.11,16.11,,,,0.0,1,1,0,0,0,1
2016-07-02,19.44,19.44,,,,0.0,1,1,0,0,0,1
2016-07-03,17.22,17.22,,,,0.0,1,1,0,0,0,1
2016-07-04,16.11,16.11,,,,0.0,1,1,0,0,0,1
2016-07-05,12.78,12.78,,,,0.0,1,1,0,0,0,1
2016-07-06,10.56,10.56,,,,0.0,1,1,0,0,0,1
2016-07-07,8.89,8.89,,,,0.0,1,1,0,0,0,1
2016-07-08,15.56,15.56,,,,0.0,1,1,0,0,0,1
2016-07-09,16.11,16.11,,,,0.0,1,1,0,0,0,1
2016-07-10,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-07-11,12.78,12.78,,,,0.0,1,1,0,0,0,1
2016-07-12,15.0,15.0,,,,0.0,1,1,0,0,0,1
2016-07-13,15.56,15.56,,,,0.0,1,1,0,0,0,1
2016-07-14,13.89,13.89,,,,0.0,1,1,0,0,0,1
2016-07-15,16.11,16.11,,,,0.0,1,1,0,0,0,1
2016-07-16,12.78,12.78,,,,0.0,1,1,0,0,0,1
2016-07-17,10.56,10.56,,,,0.0,1,1,0,0,0,1
2016-07-18,16.11,16.11,,,,0.0,1,1,0,0,0,1
2016-07-19,17.22,17.22,,,,0.0,1,1,0,0,0,1
2016-07-20,16.67,16.67,,,,0.0,1,1,0,0,0,1
2016-07-21,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-07-22,22.22,22.22,,,,0.0,1,1,0,0,0,1
2016-07-23,16.67,16.67,,,,0.0,1,1,0,0,0,1
2016-07-24,14.44,14.44,,,,0.0,1,1,0,0,0,1
2016-07-25,20.0,20.0,,,,0.0,1,1,0,0,0,1
2016-07-26,20.56,20.56,,,,0.0,1,1,0,0,0,1
2016-07-27,12.78,12.78,,,,0.0,1,1,0,0,0,1
2016-07-28,17.78,17.78,,,,0.0,1,1,0,0,0,1
2016-07-29,17.22,17.22,,,,0.0,1,1,0,0,0,1
2016-07-30,20.0,20.0,,,,0.0,1,1,0,0,0,1
2016-07-31,15.56,15.56,,,,0.0,1,1,0,0,0,1
2016-08-01,12.78,12.78,,,,0.0,1,1,0,0,0,1
2016-08-02,20.0,20.0,,,,0.0,1,1,0,0,0,1
2016-08-03,14.44,14.44,,,,0.0,1,1,0,0,0,1
2016-08-04,9.44,9.44,,,,0.0,1,1,0,0,0,1
2016-08-05,18.89,18.89,,,,0.0,1,1,0,0,0,1
2016-08-06,19.44,19.44,,,,0.0,1,1,0,0,0,1
2016-08-07,15.56,15.56,,,,0.0,1,1,0,0,0,1
2016-08-08,12.78,12.78,,,,0.0,1,1,0,0,0,1
2016-08-09,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-08-10,11.67,11.67,,,,0.0,1,1,0,0,0,1
2016-08-11,12.78,12.78,,,,0.0,1,1,0,0,0,1
2016-08-12,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-08-13,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-08-14,17.22,17.22,,,,0.0,1,1,0,0,0,1
2016-08-15,14.44,14.44,,,,0.0,1,1,0,0,0,1
2016-08-16,18.33,18.33,,,,0.0,1,1,0,0,0,1
2016-08-17,16.67,16.67,,,,0.0,1,1,0,0,0,1
2016-08-18,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-08-19,8.89,8.89,,,,0.0,1,1,0,0,0,1
2016-08-20,8.89,8.89,,,,0.0,1,1,0,0,0,1
2016-08-21,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-08-22,17.78,17.78,,,,0.0,1,1,0,0,0,1
2016-08-23,11.11,11.11,,,,0.0,1,1,0,0,0,1
2016-08-24,10.56,10.56,,,,0.0,1,1,0,0,0,1
2016-08-25,6.67,6.67,,,,0.0,1,1,0,0,0,1
2016-08-26,7.22,7.22,,,,0.0,1,1,0,0,0,1
2016-08-27,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-08-28,13.89,13.89,,,,0.0,1,1,0,0,0,1
2016-08-29,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-08-30,13.89,13.89,,,,0.0,1,1,0,0,0,1
2016-08-31,16.67,16.67,,,,0.0,1,1,0,0,0,1
2016-09-01,12.78,12.78,,,,0.0,1,1,0,0,0,1
2016-09-02,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-09-03,7.78,7.78,,,,0.0,1,1,0,0,0,1
2016-09-04,8.33,8.33,,,,0.0,1,1,0,0,0,1
2016-09-05,7.22,7.22,,,,0.0,1,1,0,0,0,1
2016-09-06,4.44,4.44,,,,0.0,1,1,0,0,0,1
2016-09-07,,,,,,0.0,0,0,0,0,0,1
2016-09-08,8.89,8.89,,,,0.0,1,1,0,0,0,1
2016-09-09,7.22,7.22,,,,0.0,1,1,0,0,0,1
2016-09-10,6.11,6.11,,,,0.0,1,1,0,0,0,1
2016-09-11,8.33,8.33,,,,0.0,1,1,0,0,0,1
2016-09-12,2.22,2.22,,,,0.0,1,1,0,0,0,1
2016-09-13,-1.67,-1.67,,,,0.0,1,1,0,0,0,1
2016-09-14,-1.11,-1.11,,,,0.0,1,1,0,0,0,1
2016-09-15,5.56,5.56,,,,0.0,1,1,0,0,0,1
2016-09-16,4.44,4.44,,,,0.0,1,1,0,0,0,1
2016-09-17,9.44,9.44,,,,0.0,1,1,0,0,0,1
2016-09-18,11.67,11.67,,,,0.0,1,1,0,0,0,1
2016-09-19,0.56,0.56,,,,0.0,1,1,0,0,0,1
2016-09-20,4.44,4.44,,,,0.0,1,1,0,0,0,1
2016-09-21,6.11,6.11,,,,0.0,1,1,0,0,0,1
2016-09-22,8.33,8.33,,,,0.0,1,1,0,0,0,1
2016-09-23,7.78,7.78,,,,0.0,1,1,0,0,0,1
2016-09-24,7.22,7.22,,,,0.0,1,1,0,0,0,1
2016-09-25,1.11,1.11,,,,0.0,1,1,0,0,0,1
2016-09-26,3.33,3.33,,,,0.0,1,1,0,0,0,1
2016-09-27,4.44,4.44,,,,0.0,1,1,0,0,0,1
2016-09-28,6.11,6.11,,,,0.0,1,1,0,0,0,1
2016-09-29,6.11,6.11,,,,0.0,1,1,0,0,0,1
2016-09-30,7.78,7.78,,,,0.0,1,1,0,0,0,1
2016-10-01,10.56,10.56,,,,0.0,1,1,0,0,0,1
2016-10-02,-0.56,-0.56,,,,0.0,1,1,0,0,0,1
2016-10-03,,,,,,0.0,0,0,0,0,0,1
2016-10-04,2.78,2.78,,,,0.0,1,1,0,0,0,1
2016-10-05,1.11,1.11,,,,0.0,1,1,0,0,0,1
2016-10-06,-0.56,-0.56,,,,0.0,1,1,0,0,0,1
2016-10-07,-1.67,-1.67,,,,0.0,1,1,0,0,0,1
2016-10-08,-1.11,-1.11,,,,0.0,1,1,0,0,0,1
2016-10-09,9.44,9.44,,,,0.0,1,1,0,0,0,1
2016-10-10,-2.78,-2.78,,,,0.0,1,1,0,0,0,1
2016-10-11,-8.33,-8.33,,,,0.0,1,1,0,0,0,1
2016-10-12,-15.56,-15.56,,,,0.0,1,1,0,0,0,1
2016-10-13,-8.89,-8.89,,,,0.0,1,1,0,0,0,1
2016-10-14,2.78,2.78,,,,0.0,1,1,0,0,0,1
2016-10-15,0.0,0.0,,,,0.0,1,1,0,0,0,1
2016-10-16,2.78,2.78,,,,0.0,1,1,0,0,0,1
2016-10-17,,,,,,0.0,0,0,0,0,0,1
2016-10-18,,,,,,0.0,0,0,0,0,0,1
2016-10-19,-2.22,-2.22,,,,0.0,1,1,0,0,0,1
2016-10-20,-1.67,-1.67,,,,0.0,1,1,0,0,0,1
2016-10-21,-0.56,-0.56,,,,0.0,1,1,0,0,0,1
2016-10-22,4.44,4.44,,,,0.0,1,1,0,0,0,1
2016-10-23,-2.22,-2.22,,,,0.0,1,1,0,0,0,1
2016-10-24,4.44,4.44,,,,0.0,1,1,0,0,0,1
2016-10-25,,,,,,0.0,0,0,0,0,0,1
2016-10-26,2.78,2.78,,,,0.0,1,1,0,0,0,1
2016-10-27,5.0,5.0,,,,0.0,1,1,0,0,0,1
2016-10-28,2.78,2.78,,,,0.0,1,1,0,0,0,1
2016-10-29,3.33,3.33,,,,0.0,1,1,0,0,0,1
2016-10-30,1.11,1.11,,,,0.0,1,1,0,0,0,1
2016-10-31,4.44,4.44,,,,0.0,1,1,0,0,0,1
2016-11-01,4.44,4.44,,,,0.0,1,1,0,0,0,1
2016-11-02,1.67,1.67,,,,0.0,1,1,0,0,0,1
2016-11-03,2.22,2.22,,,,0.0,1,1,0,0,0,1
2016-11-04,0.0,0.0,,,,0.0,1,1,0,0,0,1
2016-11-05,-1.67,-1.67,,,,0.0,1,1,0,0,0,1
2016-11-06,2.78,2.78,,,,0.0,1,1,0,0,0,1
2016-11-07,-4.44,-4.44,,,,0.0,1,1,0,0,0,1
2016-11-08,0.56,0.56,,,,0.0,1,1,0,0,0,1
2016-11-09,,,,,,0.0,0,0,0,0,0,1
2016-11-10,-1.67,-1.67,,,,0.0,1,1,0,0,0,1
2016-11-11,1.67,1.67,,,,0.0,1,1,0,0,0,1
2016-11-12,-1.11,-1.11,,,,0.0,1,1,0,0,0,1
2016-11-13,3.33,3.33,,,,0.0,1,1,0,0,0,1
2016-11-14,9.44,9.44,,,,0.0,1,1,0,0,0,1
2016-11-15,2.22,2.22,,,,0.0,1,1,0,0,0,1
2016-11-16,-1.11,-1.11,,,,0.0,1,1,0,0,0,1
2016-11-17,-7.78,-7.78,,,,0.0,1,1,0,0,0,1
