Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2010-10-13,15.01,18.9,,32.888888888888886,3.58,0.0,1,1,0,1,1,1
2010-10-14,0.01,20.57,,61.26966292134831,1.34,0.0,1,1,0,1,1,1
2010-10-15,1.12,25.57,,60.15217391304348,0.45,0.0,1,1,0,1,1,1
2010-10-16,0.01,18.9,,59.670212765957444,3.8,0.0,1,1,0,1,1,1
2010-10-17,-3.32,11.12,,68.03157894736842,1.79,0.0,1,1,0,1,1,1
2010-10-18,-7.21,15.01,,75.48421052631579,0.45,0.0,1,1,0,1,1,1
2010-10-19,1.12,19.46,,55.29213483146067,1.79,0.0,1,1,0,1,1,1
2010-10-20,2.79,16.68,,51.92631578947368,0.0,0.0,1,1,0,1,1,1
2010-10-21,-4.99,20.57,,67.8875,0.0,0.0,1,1,0,1,1,1
2010-10-22,-2.77,20.01,,70.8,0.0,0.0,1,1,0,1,1,1
2010-10-23,1.68,13.9,,69.74193548387096,0.0,0.0,1,1,0,1,1,1
2010-10-24,-0.54,14.46,,83.9659090909091,0.0,0.0,1,1,0,1,1,1
2010-10-25,6.68,12.23,,91.6896551724138,0.0,0.0,1,1,0,1,1,1
2010-10-26,-1.1,6.68,,85.01098901098901,8.04,0.0,1,1,0,1,1,1
2010-10-27,-3.32,-1.1,,92.75,10.27,0.0,1,1,0,1,1,1
2010-10-28,-14.99,1.68,,86.47191011235955,0.0,0.0,1,1,0,1,1,1
2010-10-29,-7.21,9.46,,84.43478260869566,0.0,0.0,1,1,0,1,1,1
2010-10-30,-5.54,8.9,,84.64893617021276,0.0,0.0,1,1,0,1,1,1
2010-10-31,-1.66,13.9,,85.50561797752809,0.0,0.0,1,1,0,1,1,1
2010-11-01,-2.77,17.23,,81.44680851063829,0.0,0.0,1,1,0,1,1,1
2010-11-02,2.23,18.9,,63.458333333333336,0.0,0.0,1,1,0,1,1,1
2010-11-03,0.57,13.34,,59.946236559139784,4.47,0.0,1,1,0,1,1,1
2010-11-04,-6.66,10.57,,69.3804347826087,0.0,0.0,1,1,0,1,1,1
2010-11-05,-4.43,15.57,,61.93617021276596,0.0,0.0,1,1,0,1,1,1
2010-11-06,-0.54,21.12,,69.20430107526882,0.0,0.0,1,1,0,1,1,1
2010-11-07,-1.1,21.12,,72.29473684210527,0.0,0.0,1,1,0,1,1,1
2010-11-08,-2.21,15.57,,82.43010752688173,0.0,0.0,1,1,0,1,1,1
2010-11-09,0.57,7.79,,92.38202247191012,4.02,0.0,1,1,0,1,1,1
2010-11-10,-0.54,0.57,,97.2,5.36,0.0,1,1,0,1,1,1
2010-11-11,-3.88,3.9,,88.26436781609195,5.36,0.0,1,1,0,1,1,1
2010-11-12,-9.99,5.01,,84.69565217391305,0.9,0.0,1,1,0,1,1,1
2010-11-13,-4.43,0.57,,92.04444444444445,2.68,0.0,1,1,0,1,1,1
2010-11-14,-8.32,3.34,,94.28421052631579,1.34,0.0,1,1,0,1,1,1
2010-11-15,0.01,2.79,,95.43010752688173,2.68,0.0,1,1,0,1,1,1
2010-11-16,-5.54,2.23,,93.88297872340425,1.34,0.0,1,1,0,1,1,1
2010-11-17,-8.32,0.57,,88.84782608695652,2.68,0.0,1,1,0,1,1,1
2010-11-18,-7.21,2.79,,90.9090909090909,4.91,0.0,1,1,0,1,1,1
2010-11-19,-14.43,2.23,,78.1304347826087,5.135,0.0,1,1,0,1,1,1
2010-11-20,-13.88,-9.99,,86.3529411764706,3.13,0.0,1,1,0,1,1,1
2010-11-21,-19.43,-11.1,,89.16304347826087,1.79,0.0,1,1,0,1,1,1
2010-11-22,-26.66,-15.54,,85.75268817204301,0.9,0.0,1,1,0,1,1,1
2010-11-23,-27.77,-13.32,,87.08510638297872,0.45,0.0,1,1,0,1,1,1
2010-11-24,-19.99,-13.32,,87.39772727272727,5.36,0.0,1,1,0,1,1,1
2010-11-25,-21.66,-7.21,,84.44086021505376,6.26,0.0,1,1,0,1,1,1
2010-11-26,-7.77,1.12,,83.93103448275862,6.26,0.0,1,1,0,1,1,1
2010-11-27,-13.32,0.57,,87.58695652173913,0.0,0.0,1,1,0,1,1,1
2010-11-28,-4.99,-2.21,,89.22340425531915,2.455,0.0,1,1,0,1,1,1
2010-11-29,-8.32,-4.43,,92.83157894736843,9.38,0.0,1,1,0,1,1,1
2010-11-30,-11.66,-8.32,,89.68817204301075,4.02,0.0,1,1,0,1,1,1
2010-12-01,-19.99,-3.88,,88.08333333333333,1.79,0.0,1,1,0,1,1,1
2010-12-02,-11.66,-5.54,,91.8409090909091,1.79,0.0,1,1,0,1,1,1
2010-12-03,-9.99,-5.54,,93.85393258426966,2.68,0.0,1,1,0,1,1,1
