Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2013-05-01,3.34,13.34,,20.0,3.58,0.0,1,1,0,1,1,1
2013-05-02,-4.99,18.9,,22.524590163934427,2.68,0.0,1,1,0,1,1,1
2013-05-03,0.57,20.01,,20.6,3.58,0.0,1,1,0,1,1,1
2013-05-04,6.12,19.46,,18.547169811320753,4.47,0.0,1,1,0,1,1,1
2013-05-05,-1.66,22.79,,20.145454545454545,2.68,0.0,1,1,0,1,1,1
2013-05-06,-0.54,26.68,,19.970149253731343,2.68,0.0,1,1,0,1,1,1
2013-05-07,3.9,29.46,,17.389830508474578,2.68,0.0,1,1,0,1,1,1
2013-05-08,6.68,30.01,,19.5,5.81,0.0,1,1,0,1,1,1
2013-05-09,6.68,23.9,,18.45614035087719,4.91,0.0,1,1,0,1,1,1
2013-05-10,3.34,25.57,,20.50877192982456,3.58,0.0,1,1,0,1,1,1
2013-05-11,-4.43,24.46,,21.071428571428573,3.58,0.0,1,1,0,1,1,1
2013-05-12,2.79,31.12,,17.71698113207547,4.47,0.0,1,1,0,1,1,1
2013-05-13,12.79,33.9,,16.466666666666665,3.58,0.0,1,1,0,1,1,1
2013-05-14,11.12,35.01,,29.446428571428573,5.36,0.0,1,1,0,1,1,1
2013-05-15,5.57,25.01,,20.358490566037737,3.13,0.0,1,1,0,1,1,1
2013-05-16,8.9,26.68,,19.3125,2.23,0.0,1,1,0,1,1,1
2013-05-17,12.23,26.12,,44.18867924528302,3.13,0.0,1,1,0,1,1,1
2013-05-18,13.34,22.23,,37.26923076923077,2.23,0.0,1,1,0,1,1,1
2013-05-19,13.34,20.57,,43.19607843137255,4.47,0.0,1,1,0,1,1,1
2013-05-20,11.12,21.68,,23.214285714285715,4.02,0.0,1,1,0,1,1,1
2013-05-21,4.46,22.79,,20.977272727272727,3.8,0.0,1,1,0,1,1,1
2013-05-22,10.57,23.9,,21.106060606060606,6.035,0.0,1,1,0,1,1,1
2013-05-23,8.34,24.46,,21.694915254237287,8.94,0.0,1,1,0,1,1,1
2013-05-24,12.23,25.01,,22.8135593220339,5.81,0.0,1,1,0,1,1,1
2013-05-25,7.23,28.34,,24.098360655737704,4.47,0.0,1,1,0,1,1,1
2013-05-26,10.01,28.34,,43.472727272727276,2.68,0.0,1,1,0,1,1,1
2013-05-27,12.79,24.46,,47.55357142857143,3.13,0.0,1,1,0,1,1,1
2013-05-28,8.9,22.23,,49.43333333333333,1.79,0.0,1,1,0,1,1,1
2013-05-29,7.23,23.9,,50.80882352941177,1.565,0.0,1,1,0,1,1,1
