Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2013-06-02,10.0,20.0,,46.51800000000001,2.57,0.0,1,1,0,1,1,1
2013-06-03,6.0,19.0,,74.20523809523807,4.12,0.0,1,1,0,1,1,1
2013-06-04,6.0,15.0,,79.63476190476189,4.375,0.0,1,1,0,1,1,1
2013-06-05,7.0,22.0,,59.34047619047618,0.0,0.0,1,1,0,1,1,1
2013-06-06,5.0,22.0,,61.37142857142857,1.54,0.0,1,1,0,1,1,1
2013-06-07,7.0,24.0,,52.665238095238095,0.0,0.0,1,1,0,1,1,1
2013-06-08,9.0,17.0,,82.7882608695652,1.54,0.0,1,1,0,1,1,1
2013-06-09,9.0,25.0,,68.16047619047619,1.03,0.0,1,1,0,1,1,1
2013-06-10,10.0,23.0,,65.6161904761905,1.54,0.0,1,1,0,1,1,1
2013-06-11,10.0,23.0,,60.74363636363637,0.515,0.0,1,1,0,1,1,1
2013-06-12,13.0,23.0,,74.02619047619045,1.54,0.0,1,1,0,1,1,1
2013-06-13,14.0,25.0,,66.09749999999998,3.09,0.0,1,1,0,1,1,1
2013-06-14,10.0,23.0,,74.2813043478261,3.09,0.0,1,1,0,1,1,1
2013-06-15,8.0,21.0,,68.61727272727272,4.375,0.0,1,1,0,1,1,1
2013-06-16,10.0,21.0,,67.18826086956523,2.57,0.0,1,1,0,1,1,1
2013-06-17,9.0,22.0,,73.58571428571429,0.0,0.0,1,1,0,1,1,1
2013-06-18,8.0,26.0,,63.04590909090907,0.515,0.0,1,1,0,1,1,1
2013-06-19,15.0,30.0,,61.47772727272729,3.6,0.0,1,1,0,1,1,1
2013-06-20,13.0,28.0,,71.94857142857143,3.09,0.0,1,1,0,1,1,1
2013-06-21,12.0,24.0,,65.326,1.03,0.0,1,1,0,1,1,1
2013-06-22,11.0,22.0,,74.19666666666664,1.03,0.0,1,1,0,1,1,1
2013-06-23,13.0,22.0,,78.35714285714285,1.54,0.0,1,1,0,1,1,1
2013-06-24,11.0,29.0,,64.99333333333334,0.0,0.0,1,1,0,1,1,1
2013-06-25,15.0,27.0,,74.1435,0.0,0.0,1,1,0,1,1,1
2013-06-26,13.0,26.0,,67.39999999999999,0.0,0.0,1,1,0,1,1,1
2013-06-27,12.0,27.0,,60.130952380952394,1.54,0.0,1,1,0,1,1,1
2013-06-28,14.0,26.0,,59.94761904761903,0.0,0.0,1,1,0,1,1,1
2013-06-29,13.0,25.0,,62.253333333333345,0.0,0.0,1,1,0,1,1,1
2013-06-30,12.0,26.0,,66.75476190476189,0.0,0.0,1,1,0,1,1,1
2013-07-01,13.0,30.0,,64.04071428571427,0.0,0.0,1,1,0,1,1,1
2013-07-02,13.0,31.0,,62.01045454545454,0.0,0.0,1,1,0,1,1,1
2013-07-03,13.0,32.0,,62.463499999999996,1.54,0.0,1,1,0,1,1,1
