Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2014-04-22,17.0,22.0,,26.04714285714286,0.0,0.0,1,1,0,1,1,1
2014-04-23,6.0,18.0,,66.29217391304348,0.0,0.0,1,1,0,1,1,1
2014-04-24,1.0,13.0,,70.52782608695651,0.0,0.0,1,1,0,1,1,1
2014-04-25,-1.0,23.0,,63.3791304347826,0.0,0.0,1,1,0,1,1,1
2014-04-26,3.0,18.0,,85.2708695652174,0.0,0.0,1,1,0,1,1,1
2014-04-27,1.0,8.0,,89.18565217391306,0.0,0.0,1,1,0,1,1,1
2014-04-28,0.0,5.0,,93.77391304347827,0.0,0.0,1,1,0,1,1,1
2014-04-29,0.0,8.0,,94.01782608695652,0.0,0.0,1,1,0,1,1,1
2014-04-30,1.0,14.0,,76.75000000000001,0.0,0.0,1,1,0,1,1,1
2014-05-01,0.0,19.0,,57.947499999999984,0.0,0.0,1,1,0,1,1,1
2014-05-02,5.0,19.0,,61.573043478260864,0.0,0.0,1,1,0,1,1,1
2014-05-03,-1.0,12.0,,62.263750000000016,0.0,0.0,1,1,0,1,1,1
2014-05-04,0.0,12.0,,73.61304347826088,0.0,0.0,1,1,0,1,1,1
2014-05-05,-1.0,10.0,,92.72000000000001,0.0,0.0,1,1,0,1,1,1
2014-05-06,5.0,21.0,,83.96478260869563,0.0,0.0,1,1,0,1,1,1
2014-05-07,2.0,10.0,,74.94461538461539,0.0,0.0,1,1,0,1,1,1
2014-05-08,-2.0,14.0,,55.88173913043478,0.0,0.0,1,1,0,1,1,1
2014-05-09,2.0,20.0,,48.896250000000016,0.0,0.0,1,1,0,1,1,1
2014-05-10,5.0,19.0,,60.34782608695651,0.0,0.0,1,1,0,1,1,1
2014-05-11,3.0,15.0,,55.98833333333334,0.0,0.0,1,1,0,1,1,1
2014-05-12,-1.0,13.0,,58.59826086956523,0.0,0.0,1,1,0,1,1,1
2014-05-13,0.0,14.0,,57.72333333333335,0.0,0.0,1,1,0,1,1,1
2014-05-14,-2.0,17.0,,49.11347826086955,0.0,0.0,1,1,0,1,1,1
2014-05-15,3.0,21.0,,41.53217391304347,0.0,0.0,1,1,0,1,1,1
2014-05-16,7.0,17.0,,74.21434782608695,0.0,0.0,1,1,0,1,1,1
2014-05-17,5.0,18.0,,73.66041666666665,0.0,0.0,1,1,0,1,1,1
2014-05-18,6.0,24.0,,59.02875000000001,0.0,0.0,1,1,0,1,1,1
2014-05-19,10.0,21.0,,85.24260869565215,0.0,0.0,1,1,0,1,1,1
2014-05-20,5.0,16.0,,81.82304347826087,0.0,0.0,1,1,0,1,1,1
2014-05-21,5.0,21.0,,67.07173913043479,0.0,0.0,1,1,0,1,1,1
2014-05-22,10.0,26.0,,54.37833333333335,0.0,0.0,1,1,0,1,1,1
2014-05-23,13.0,31.0,,48.85045454545455,0.0,0.0,1,1,0,1,1,1
2014-05-24,16.0,29.0,,47.50999999999999,0.0,0.0,1,1,0,1,1,1
2014-05-25,13.0,29.0,,74.46772727272729,0.0,0.0,1,1,0,1,1,1
2014-05-26,11.0,30.0,,77.04250000000002,0.0,0.0,1,1,0,1,1,1
2014-05-27,14.0,24.0,,64.89375,0.0,0.0,1,1,0,1,1,1
2014-05-28,12.0,29.0,,55.40130434782609,0.0,0.0,1,1,0,1,1,1
2014-05-29,18.0,28.0,,63.07045454545453,0.0,0.0,1,1,0,1,1,1
2014-05-30,8.0,25.0,,39.6604347826087,0.0,0.0,1,1,0,1,1,1
2014-05-31,10.0,27.0,,43.20000000000001,0.0,0.0,1,1,0,1,1,1
2014-06-01,12.0,24.0,,84.54411764705881,0.0,0.0,1,1,0,1,1,1
2014-06-02,9.0,16.0,,87.27791666666667,0.0,0.0,1,1,0,1,1,1
2014-06-03,9.0,29.0,,70.66608695652172,0.0,0.0,1,1,0,1,1,1
2014-06-04,14.0,26.0,,70.05304347826088,0.0,0.0,1,1,0,1,1,1
2014-06-05,10.0,21.0,,77.03875,0.0,0.0,1,1,0,1,1,1
2014-06-06,4.0,16.0,,57.353043478260886,0.0,0.0,1,1,0,1,1,1
2014-06-07,5.0,20.0,,58.51478260869565,0.0,0.0,1,1,0,1,1,1
2014-06-08,7.0,20.0,,60.359583333333326,0.0,0.0,1,1,0,1,1,1
2014-06-09,7.0,26.0,,60.13374999999999,0.0,0.0,1,1,0,1,1,1
2014-06-10,10.0,23.0,,54.23173913043478,0.0,0.0,1,1,0,1,1,1
2014-06-11,10.0,28.0,,69.21750000000002,0.0,0.0,1,1,0,1,1,1
2014-06-12,6.0,21.0,,51.60416666666668,0.0,0.0,1,1,0,1,1,1
2014-06-13,9.0,21.0,,58.5095238095238,0.0,0.0,1,1,0,1,1,1
2014-06-14,8.0,17.0,,81.38217391304347,0.0,0.0,1,1,0,1,1,1
2014-06-15,7.0,21.0,,80.2304347826087,0.0,0.0,1,1,0,1,1,1
2014-06-16,7.0,25.0,,75.31695652173912,0.0,0.0,1,1,0,1,1,1
2014-06-17,11.0,24.0,,77.51583333333333,0.0,0.0,1,1,0,1,1,1
2014-06-18,12.0,22.0,,83.80000000000001,0.0,0.0,1,1,0,1,1,1
2014-06-19,10.0,20.0,,78.64434782608697,0.0,0.0,1,1,0,1,1,1
2014-06-20,-17.0,21.0,,76.89652173913043,0.0,0.0,1,1,0,1,1,1
2014-06-21,12.0,25.0,,67.76380952380953,0.0,0.0,1,1,0,1,1,1
2014-06-22,11.0,23.0,,72.16416666666666,0.0,0.0,1,1,0,1,1,1
2014-06-23,12.0,22.0,,77.35391304347826,0.0,0.0,1,1,0,1,1,1
2014-06-24,13.0,27.0,,76.00291666666668,0.0,0.0,1,1,0,1,1,1
2014-06-25,10.0,27.0,,75.41045454545453,0.0,0.0,1,1,0,1,1,1
2014-06-26,14.0,29.0,,78.9926086956522,0.0,0.0,1,1,0,1,1,1
2014-06-27,16.0,25.0,,88.12833333333333,0.0,0.0,1,1,0,1,1,1
2014-06-28,14.0,22.0,,83.79708333333333,0.0,0.0,1,1,0,1,1,1
2014-06-29,14.0,19.0,,78.50458333333333,0.0,0.0,1,1,0,1,1,1
2014-06-30,13.0,17.0,,86.26916666666666,0.0,0.0,1,1,0,1,1,1
2014-07-01,11.0,24.0,,77.78882352941176,0.0,0.0,1,1,0,1,1,1
2014-07-02,9.0,32.0,,65.30260869565218,0.0,0.0,1,1,0,1,1,1
2014-07-03,11.0,30.0,,66.93749999999999,0.0,0.0,1,1,0,1,1,1
2014-07-04,16.0,30.0,,70.82916666666668,0.0,0.0,1,1,0,1,1,1
2014-07-05,15.0,31.0,,61.759565217391305,0.0,0.0,1,1,0,1,1,1
2014-07-06,15.0,28.0,,65.55541666666667,0.0,0.0,1,1,0,1,1,1
2014-07-07,12.0,24.0,,81.24583333333332,0.0,0.0,1,1,0,1,1,1
2014-07-08,13.0,24.0,,74.1182608695652,0.0,0.0,1,1,0,1,1,1
2014-07-09,12.0,31.0,,69.93916666666667,0.0,0.0,1,1,0,1,1,1
2014-07-10,17.0,30.0,,65.9795652173913,0.0,0.0,1,1,0,1,1,1
2014-07-11,13.0,28.0,,69.79,0.0,0.0,1,1,0,1,1,1
2014-07-12,11.0,26.0,,64.02521739130434,0.0,0.0,1,1,0,1,1,1
2014-07-13,8.0,25.0,,57.98130434782608,0.0,0.0,1,1,0,1,1,1
2014-07-14,8.0,30.0,,64.49391304347827,0.0,0.0,1,1,0,1,1,1
2014-07-15,10.0,29.0,,57.87043478260868,0.0,0.0,1,1,0,1,1,1
2014-07-16,11.0,27.0,,58.066666666666656,0.0,0.0,1,1,0,1,1,1
2014-07-17,14.0,34.0,,50.85956521739132,0.0,0.0,1,1,0,1,1,1
2014-07-18,17.0,37.0,,63.55681818181818,0.0,0.0,1,1,0,1,1,1
2014-07-19,11.0,29.0,,66.35739130434781,0.0,0.0,1,1,0,1,1,1
2014-07-20,16.0,31.0,,57.06478260869567,0.0,0.0,1,1,0,1,1,1
2014-07-21,13.0,31.0,,75.18958333333335,0.0,0.0,1,1,0,1,1,1
2014-07-22,15.0,33.0,,77.57000000000002,0.0,0.0,1,1,0,1,1,1
2014-07-23,16.0,31.0,,71.10695652173912,0.0,0.0,1,1,0,1,1,1
2014-07-24,17.0,33.0,,71.35708333333335,0.0,0.0,1,1,0,1,1,1
2014-07-25,10.0,26.0,,60.428124999999994,0.0,0.0,1,1,0,1,1,1
2014-07-26,13.0,24.0,,71.69608695652173,0.0,0.0,1,1,0,1,1,1
2014-07-27,12.0,32.0,,77.06652173913045,0.0,0.0,1,1,0,1,1,1
2014-07-28,12.0,35.0,,67.01043478260867,0.0,0.0,1,1,0,1,1,1
2014-07-29,11.0,34.0,,65.1413043478261,0.0,0.0,1,1,0,1,1,1
2014-07-30,13.0,37.0,,58.29695652173914,0.0,0.0,1,1,0,1,1,1
2014-07-31,15.0,36.0,,62.39208333333334,0.0,0.0,1,1,0,1,1,1
2014-08-01,16.0,39.0,,69.05277777777776,0.0,0.0,1,1,0,1,1,1
2014-08-02,14.0,40.0,,70.39,0.0,0.0,1,1,0,1,1,1
2014-08-03,17.0,34.0,,71.33166666666668,0.0,0.0,1,1,0,1,1,1
2014-08-04,15.0,33.0,,74.35565217391304,0.0,0.0,1,1,0,1,1,1
2014-08-05,15.0,30.0,,78.19739130434783,0.0,0.0,1,1,0,1,1,1
2014-08-06,17.0,23.0,,93.1204347826087,0.0,0.0,1,1,0,1,1,1
2014-08-07,18.0,32.0,,61.616923076923065,0.0,0.0,1,1,0,1,1,1
2014-08-08,17.0,39.0,,68.40500000000002,0.0,0.0,1,1,0,1,1,1
2014-08-09,16.0,33.0,,69.99565217391303,0.0,0.0,1,1,0,1,1,1
2014-08-10,10.0,26.0,,64.42347826086957,0.0,0.0,1,1,0,1,1,1
2014-08-11,12.0,35.0,,58.04391304347826,0.0,0.0,1,1,0,1,1,1
2014-08-12,14.0,38.0,,57.32782608695653,0.0,0.0,1,1,0,1,1,1
2014-08-13,16.0,34.0,,61.20695652173913,0.0,0.0,1,1,0,1,1,1
2014-08-14,18.0,38.0,,63.219130434782606,0.0,0.0,1,1,0,1,1,1
2014-08-15,18.0,36.0,,73.02695652173912,0.0,0.0,1,1,0,1,1,1
2014-08-16,18.0,29.0,,84.63636363636367,0.0,0.0,1,1,0,1,1,1
2014-08-17,16.0,24.0,,78.23695652173912,0.0,0.0,1,1,0,1,1,1
2014-08-18,15.0,26.0,,82.98791666666666,0.0,0.0,1,1,0,1,1,1
2014-08-19,13.0,33.0,,61.693478260869554,0.0,0.0,1,1,0,1,1,1
2014-08-20,19.0,31.0,,68.75826086956522,0.0,0.0,1,1,0,1,1,1
2014-08-21,14.0,26.0,,85.45,0.0,0.0,1,1,0,1,1,1
2014-08-22,14.0,23.0,,74.36782608695651,0.0,0.0,1,1,0,1,1,1
2014-08-23,11.0,19.0,,88.43086956521736,0.0,0.0,1,1,0,1,1,1
2014-08-24,9.0,13.0,,97.09545454545456,0.0,0.0,1,1,0,1,1,1
2014-08-25,6.0,15.0,,87.11739130434783,0.0,0.0,1,1,0,1,1,1
2014-08-26,7.0,22.0,,71.80869565217392,0.0,0.0,1,1,0,1,1,1
2014-08-27,11.0,28.0,,63.85130434782609,0.0,0.0,1,1,0,1,1,1
2014-08-28,15.0,31.0,,56.43916666666666,0.0,0.0,1,1,0,1,1,1
2014-08-29,13.0,29.0,,67.23173913043476,0.0,0.0,1,1,0,1,1,1
2014-08-30,11.0,29.0,,77.64571428571428,0.0,0.0,1,1,0,1,1,1
2014-08-31,11.0,23.0,,79.99826086956521,0.0,0.0,1,1,0,1,1,1
2014-09-01,8.0,21.0,,69.15058823529411,0.0,0.0,1,1,0,1,1,1
2014-09-02,10.0,27.0,,59.90869565217392,0.0,0.0,1,1,0,1,1,1
2014-09-03,11.0,29.0,,65.00000000000001,0.0,0.0,1,1,0,1,1,1
2014-09-04,9.0,18.0,,84.92473684210526,0.0,0.0,1,1,0,1,1,1
2014-09-05,7.0,21.0,,64.80043478260872,0.0,0.0,1,1,0,1,1,1
2014-09-06,8.0,23.0,,60.09521739130436,0.0,0.0,1,1,0,1,1,1
2014-09-07,8.0,27.0,,59.481363636363646,0.0,0.0,1,1,0,1,1,1
2014-09-08,10.0,27.0,,66.10999999999999,0.0,0.0,1,1,0,1,1,1
2014-09-09,4.0,13.0,,91.11652173913045,0.0,0.0,1,1,0,1,1,1
2014-09-10,2.0,8.0,,84.05541666666667,0.0,0.0,1,1,0,1,1,1
2014-09-11,-1.0,8.0,,72.0491666666667,0.0,0.0,1,1,0,1,1,1
2014-09-12,-1.0,14.0,,69.8921739130435,0.0,0.0,1,1,0,1,1,1
2014-09-13,4.0,13.0,,65.84478260869565,0.0,0.0,1,1,0,1,1,1
2014-09-14,0.0,16.0,,76.22391304347828,0.0,0.0,1,1,0,1,1,1
2014-09-15,3.0,20.0,,55.82416666666668,0.0,0.0,1,1,0,1,1,1
2014-09-16,6.0,28.0,,43.15260869565218,0.0,0.0,1,1,0,1,1,1
2014-09-17,9.0,27.0,,42.21333333333334,0.0,0.0,1,1,0,1,1,1
2014-09-18,11.0,25.0,,61.510869565217384,0.0,0.0,1,1,0,1,1,1
2014-09-19,16.0,21.0,,63.28,0.0,0.0,1,1,0,1,1,1
2014-09-20,10.0,19.0,,70.34636363636363,0.0,0.0,1,1,0,1,1,1
2014-09-21,5.0,24.0,,53.36375,0.0,0.0,1,1,0,1,1,1
2014-09-22,8.0,30.0,,40.67708333333334,0.0,0.0,1,1,0,1,1,1
2014-09-23,11.0,30.0,,56.67545454545455,0.0,0.0,1,1,0,1,1,1
2014-09-24,10.0,30.0,,51.09521739130434,0.0,0.0,1,1,0,1,1,1
2014-09-25,18.0,35.0,,42.232173913043475,0.0,0.0,1,1,0,1,1,1
2014-09-26,16.0,33.0,,44.80916666666666,0.0,0.0,1,1,0,1,1,1
2014-09-27,11.0,27.0,,62.79521739130435,0.0,0.0,1,1,0,1,1,1
2014-09-28,6.0,10.0,,90.13124999999998,0.0,0.0,1,1,0,1,1,1
2014-09-29,6.0,9.0,,87.78391304347825,0.0,0.0,1,1,0,1,1,1
2014-09-30,9.0,13.0,,94.69521739130434,0.0,0.0,1,1,0,1,1,1
2014-10-01,9.0,12.0,,89.94437500000001,0.0,0.0,1,1,0,1,1,1
2014-10-02,3.0,13.0,,81.77608695652175,0.0,0.0,1,1,0,1,1,1
2014-10-03,-2.0,5.0,,68.78333333333333,0.0,0.0,1,1,0,1,1,1
2014-10-04,-3.0,11.0,,67.87260869565218,0.0,0.0,1,1,0,1,1,1
2014-10-05,6.0,12.0,,68.19142857142857,0.0,0.0,1,1,0,1,1,1
2014-10-06,4.0,16.0,,74.30478260869565,0.0,0.0,1,1,0,1,1,1
2014-10-07,5.0,14.0,,65.4082608695652,0.0,0.0,1,1,0,1,1,1
2014-10-08,0.0,13.0,,69.37875,0.0,0.0,1,1,0,1,1,1
2014-10-09,-2.0,21.0,,68.08045454545453,0.0,0.0,1,1,0,1,1,1
2014-10-10,2.0,19.0,,58.45652173913044,0.0,0.0,1,1,0,1,1,1
2014-10-11,4.0,22.0,,61.58173913043479,0.0,0.0,1,1,0,1,1,1
2014-10-12,7.0,17.0,,61.55565217391304,0.0,0.0,1,1,0,1,1,1
2014-10-13,2.0,17.0,,64.31652173913042,0.0,0.0,1,1,0,1,1,1
2014-10-14,5.0,21.0,,55.317391304347815,0.0,0.0,1,1,0,1,1,1
2014-10-15,7.0,17.0,,60.42318181818182,0.0,0.0,1,1,0,1,1,1
2014-10-16,7.0,11.0,,83.925,0.0,0.0,1,1,0,1,1,1
2014-10-17,0.0,18.0,,81.08375000000001,0.0,0.0,1,1,0,1,1,1
2014-10-18,2.0,18.0,,75.87391304347825,0.0,0.0,1,1,0,1,1,1
2014-10-19,5.0,21.0,,63.40791666666666,0.0,0.0,1,1,0,1,1,1
2014-10-20,9.0,24.0,,53.18416666666665,0.0,0.0,1,1,0,1,1,1
2014-10-21,7.0,28.0,,56.93863636363638,0.0,0.0,1,1,0,1,1,1
2014-10-22,5.0,17.0,,70.6740909090909,0.0,0.0,1,1,0,1,1,1
2014-10-23,3.0,18.0,,61.7309090909091,0.0,0.0,1,1,0,1,1,1
2014-10-24,6.0,14.0,,57.33166666666665,0.0,0.0,1,1,0,1,1,1
2014-10-25,0.0,17.0,,61.711249999999986,0.0,0.0,1,1,0,1,1,1
2014-10-26,6.0,18.0,,55.09166666666666,0.0,0.0,1,1,0,1,1,1
2014-10-27,1.0,12.0,,80.77958333333332,0.0,0.0,1,1,0,1,1,1
2014-10-28,0.0,2.0,,93.99333333333333,0.0,0.0,1,1,0,1,1,1
2014-10-29,-3.0,10.0,,87.61857142857144,0.0,0.0,1,1,0,1,1,1
2014-10-30,,,,,,0.0,0,0,0,0,0,1
2014-10-31,7.0,7.0,,61.02,0.0,0.0,1,1,0,1,1,1
2014-11-01,0.0,15.0,,59.10352941176471,0.0,0.0,1,1,0,1,1,1
2014-11-02,0.0,11.0,,77.29458333333334,0.0,0.0,1,1,0,1,1,1
2014-11-03,2.0,6.0,,80.1025,0.0,0.0,1,1,0,1,1,1
2014-11-04,-4.0,3.0,,90.05083333333333,0.0,0.0,1,1,0,1,1,1
2014-11-05,1.0,8.0,,85.69916666666666,0.0,0.0,1,1,0,1,1,1
2014-11-06,-3.0,10.0,,78.27695652173911,0.0,0.0,1,1,0,1,1,1
2014-11-07,2.0,12.0,,76.00166666666668,0.0,0.0,1,1,0,1,1,1
2014-11-08,-5.0,8.0,,80.61347826086956,0.0,0.0,1,1,0,1,1,1
2014-11-09,-7.0,0.0,,77.97416666666666,0.0,0.0,1,1,0,1,1,1
2014-11-10,-13.0,-7.0,,80.94708333333334,0.0,0.0,1,1,0,1,1,1
2014-11-11,-13.0,-10.0,,80.76608695652172,0.0,0.0,1,1,0,1,1,1
2014-11-12,-15.0,-9.0,,82.48956521739129,0.0,0.0,1,1,0,1,1,1
2014-11-13,-14.0,-9.0,,74.8013043478261,0.0,0.0,1,1,0,1,1,1
2014-11-14,-20.0,-8.0,,78.74304347826087,0.0,0.0,1,1,0,1,1,1
2014-11-15,-17.0,-12.0,,80.94652173913042,0.0,0.0,1,1,0,1,1,1
2014-11-16,-15.0,-7.0,,75.90347826086958,0.0,0.0,1,1,0,1,1,1
2014-11-17,-17.0,-9.0,,83.25809523809524,0.0,0.0,1,1,0,1,1,1
2014-11-18,-18.0,-2.0,,81.75999999999999,0.0,0.0,1,1,0,1,1,1
2014-11-19,-9.0,-7.0,,80.45625,0.0,0.0,1,1,0,1,1,1
2014-11-20,-11.0,-5.0,,84.52863636363638,0.0,0.0,1,1,0,1,1,1
2014-11-21,-8.0,6.0,,84.37565217391305,0.0,0.0,1,1,0,1,1,1
2014-11-22,-2.0,8.0,,85.6595652173913,0.0,0.0,1,1,0,1,1,1
2014-11-23,-9.0,3.0,,81.62086956521738,0.0,0.0,1,1,0,1,1,1
2014-11-24,-14.0,0.0,-8.647058823529411,88.4009090909091,0.0,0.0,1,1,1,1,1,1
2014-11-25,-7.0,0.0,-3.9166666666666665,93.15291666666667,0.0,0.0,1,1,1,1,1,1
2014-11-26,-13.0,-6.0,-12.083333333333334,86.01291666666663,0.0,0.0,1,1,1,1,1,1
2014-11-27,-14.0,-6.0,-12.125,87.23708333333332,0.0,0.0,1,1,1,1,1,1
2014-11-28,-12.0,-4.0,-9.916666666666666,90.40666666666668,0.0,0.0,1,1,1,1,1,1
2014-11-29,-21.0,-6.0,-16.608695652173914,83.72217391304348,0.0,0.0,1,1,1,1,1,1
2014-11-30,-25.0,-18.0,-25.565217391304348,76.59304347826087,0.0,0.0,1,1,1,1,1,1
2014-12-01,-25.0,-10.0,,76.81277777777778,0.0,0.0,1,1,0,1,1,1
2014-12-02,-17.0,-7.0,,81.80666666666664,0.0,0.0,1,1,0,1,1,1
2014-12-03,-17.0,0.0,,82.38916666666667,0.0,0.0,1,1,0,1,1,1
2014-12-04,-15.0,-1.0,,82.62041666666667,0.0,0.0,1,1,0,1,1,1
2014-12-05,-13.0,-5.0,-7.428571428571429,86.96217391304346,0.0,0.0,1,1,1,1,1,1
2014-12-06,-8.0,0.0,-6.7272727272727275,87.79272727272729,0.0,0.0,1,1,1,1,1,1
2014-12-07,-5.0,0.0,-3.652173913043478,89.92565217391304,0.0,0.0,1,1,1,1,1,1
2014-12-08,-8.0,-2.0,-6.208333333333333,92.67541666666665,0.0,0.0,1,1,1,1,1,1
