Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2013-06-02,14.0,19.0,,47.317777777777785,4.12,0.0,1,1,0,1,1,1
2013-06-03,6.0,18.0,,78.40090909090905,9.77,0.0,1,1,0,1,1,1
2013-06-04,6.0,14.0,,82.84791666666663,6.69,0.0,1,1,0,1,1,1
2013-06-05,7.0,19.0,,65.19782608695652,0.0,0.0,1,1,0,1,1,1
2013-06-06,9.0,22.0,,65.02250000000001,1.54,0.0,1,1,0,1,1,1
2013-06-07,8.0,23.0,,53.10347826086956,1.03,0.0,1,1,0,1,1,1
2013-06-08,12.0,17.0,,87.35608695652175,1.54,0.0,1,1,0,1,1,1
2013-06-09,9.0,24.0,,72.58826086956523,1.03,0.0,1,1,0,1,1,1
2013-06-10,10.0,22.0,,71.98695652173915,2.57,0.0,1,1,0,1,1,1
2013-06-11,10.0,22.0,,63.479565217391325,2.57,0.0,1,1,0,1,1,1
2013-06-12,12.0,22.0,,79.46136363636364,1.54,0.0,1,1,0,1,1,1
2013-06-13,13.0,24.0,,72.97227272727274,4.375,0.0,1,1,0,1,1,1
2013-06-14,12.0,22.0,,79.31333333333335,3.6,0.0,1,1,0,1,1,1
2013-06-15,9.0,21.0,,72.75652173913045,3.6,0.0,1,1,0,1,1,1
2013-06-16,9.0,21.0,,71.41913043478262,3.09,0.0,1,1,0,1,1,1
2013-06-17,9.0,20.0,,82.77217391304347,1.03,0.0,1,1,0,1,1,1
2013-06-18,10.0,26.0,,71.43708333333332,2.06,0.0,1,1,0,1,1,1
2013-06-19,15.0,29.0,,71.53000000000002,6.17,0.0,1,1,0,1,1,1
2013-06-20,15.0,27.0,,73.22349999999999,5.654999999999999,0.0,1,1,0,1,1,1
2013-06-21,11.0,23.0,,72.36090909090909,2.06,0.0,1,1,0,1,1,1
2013-06-22,11.0,21.0,,79.69625,2.06,0.0,1,1,0,1,1,1
2013-06-23,12.0,21.0,,83.62545454545456,2.57,0.0,1,1,0,1,1,1
2013-06-24,12.0,26.0,,72.0313043478261,0.0,0.0,1,1,0,1,1,1
2013-06-25,17.0,25.0,,82.06000000000002,4.12,0.0,1,1,0,1,1,1
2013-06-26,14.0,25.0,,72.3281818181818,1.03,0.0,1,1,0,1,1,1
2013-06-27,12.0,26.0,,64.66913043478257,2.06,0.0,1,1,0,1,1,1
2013-06-28,12.0,26.0,,66.64545454545454,0.515,0.0,1,1,0,1,1,1
2013-06-29,12.0,24.0,,68.08304347826086,2.06,0.0,1,1,0,1,1,1
2013-06-30,13.0,26.0,,73.04565217391306,2.06,0.0,1,1,0,1,1,1
2013-07-01,15.0,29.0,,64.336,1.54,0.0,1,1,0,1,1,1
2013-07-02,15.0,30.0,,63.15478260869567,0.0,0.0,1,1,0,1,1,1
2013-07-03,15.0,32.0,,63.804545454545476,1.54,0.0,1,1,0,1,1,1
2013-07-04,16.0,30.0,,71.69125000000001,2.57,0.0,1,1,0,1,1,1
2013-07-05,15.0,27.0,,78.85666666666667,2.315,0.0,1,1,0,1,1,1
2013-07-06,15.0,23.0,,81.40782608695653,2.57,0.0,1,1,0,1,1,1
2013-07-07,12.0,26.0,,71.55565217391305,0.0,0.0,1,1,0,1,1,1
2013-07-08,15.0,25.0,,81.27291666666667,1.54,0.0,1,1,0,1,1,1
2013-07-09,13.0,21.0,,83.31090909090909,2.06,0.0,1,1,0,1,1,1
2013-07-10,11.0,27.0,,71.55181818181819,1.03,0.0,1,1,0,1,1,1
2013-07-11,16.0,32.0,,74.68318181818182,1.54,0.0,1,1,0,1,1,1
2013-07-12,19.0,29.0,,65.33125000000001,1.03,0.0,1,1,0,1,1,1
2013-07-13,17.0,30.0,,75.31590909090909,3.09,0.0,1,1,0,1,1,1
2013-07-14,10.0,19.0,,81.71695652173914,1.54,0.0,1,1,0,1,1,1
2013-07-15,13.0,28.0,,82.33409090909089,2.06,0.0,1,1,0,1,1,1
2013-07-16,12.0,21.0,,81.59652173913044,3.09,0.0,1,1,0,1,1,1
2013-07-17,13.0,20.0,,88.18875000000001,2.57,0.0,1,1,0,1,1,1
2013-07-18,13.0,27.0,,79.87611111111113,1.8,0.0,1,1,0,1,1,1
2013-07-19,12.0,28.0,,72.6408695652174,1.54,0.0,1,1,0,1,1,1
2013-07-20,12.0,21.0,,91.25714285714287,1.2850000000000001,0.0,1,1,0,1,1,1
2013-07-21,,,,,,0.0,0,0,0,0,0,1
2013-07-22,,,,,,0.0,0,0,0,0,0,1
2013-07-23,,,,,,0.0,0,0,0,0,0,1
2013-07-24,17.0,17.0,,88.02,0.0,0.0,1,1,0,1,1,1
2013-07-25,,,,,,0.0,0,0,0,0,0,1
2013-07-26,,,,,,0.0,0,0,0,0,0,1
2013-07-27,,,,,,0.0,0,0,0,0,0,1
2013-07-28,12.0,13.0,,71.59666666666666,4.63,0.0,1,1,0,1,1,1
2013-07-29,13.0,15.0,,87.81,4.115,0.0,1,1,0,1,1,1
2013-07-30,12.0,12.0,,87.57,0.0,0.0,1,1,0,1,1,1
2013-07-31,,,,,,0.0,0,0,0,0,0,1
2013-08-01,,,,,,0.0,0,0,0,0,0,1
