Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2013-06-02,14.0,19.0,,48.06333333333334,5.66,0.0,1,1,0,1,1,1
2013-06-03,7.0,17.0,,79.62,8.49,0.0,1,1,0,1,1,1
2013-06-04,6.0,14.0,,86.55478260869565,6.17,0.0,1,1,0,1,1,1
2013-06-05,6.0,19.0,,63.07347826086957,1.03,0.0,1,1,0,1,1,1
2013-06-06,9.0,21.0,,64.65521739130435,3.6,0.0,1,1,0,1,1,1
2013-06-07,9.0,22.0,,50.15291666666666,1.03,0.0,1,1,0,1,1,1
2013-06-08,12.0,16.0,,88.58869565217393,2.57,0.0,1,1,0,1,1,1
2013-06-09,10.0,23.0,,72.57869565217392,2.06,0.0,1,1,0,1,1,1
2013-06-10,10.0,23.0,,73.01739130434784,3.09,0.0,1,1,0,1,1,1
2013-06-11,11.0,23.0,,61.12565217391304,2.06,0.0,1,1,0,1,1,1
2013-06-12,12.0,21.0,,78.34590909090907,3.09,0.0,1,1,0,1,1,1
2013-06-13,13.0,23.0,,72.06545454545453,6.175000000000001,0.0,1,1,0,1,1,1
2013-06-14,12.0,22.0,,81.71708333333332,3.6,0.0,1,1,0,1,1,1
2013-06-15,9.0,22.0,,71.59521739130436,4.63,0.0,1,1,0,1,1,1
2013-06-16,10.0,20.0,,72.03869565217393,3.6,0.0,1,1,0,1,1,1
2013-06-17,10.0,20.0,,82.73565217391305,1.03,0.0,1,1,0,1,1,1
2013-06-18,10.0,25.0,,68.81124999999999,3.09,0.0,1,1,0,1,1,1
2013-06-19,15.0,28.0,,71.5513043478261,4.63,0.0,1,1,0,1,1,1
2013-06-20,15.0,27.0,,72.3095,6.17,0.0,1,1,0,1,1,1
2013-06-21,12.0,23.0,,68.78681818181818,1.54,0.0,1,1,0,1,1,1
2013-06-22,11.0,21.0,,83.58454545454545,2.06,0.0,1,1,0,1,1,1
2013-06-23,12.0,23.0,,84.92909090909092,3.09,0.0,1,1,0,1,1,1
2013-06-24,14.0,27.0,,63.341739130434796,2.57,0.0,1,1,0,1,1,1
2013-06-25,16.0,26.0,,80.03047619047618,3.09,0.0,1,1,0,1,1,1
2013-06-26,14.0,25.0,,71.43545454545455,2.57,0.0,1,1,0,1,1,1
2013-06-27,13.0,26.0,,64.06782608695652,2.57,0.0,1,1,0,1,1,1
2013-06-28,13.0,25.0,,63.49428571428569,1.54,0.0,1,1,0,1,1,1
2013-06-29,12.0,24.0,,65.62434782608695,2.06,0.0,1,1,0,1,1,1
2013-06-30,14.0,25.0,,68.88608695652172,2.57,0.0,1,1,0,1,1,1
2013-07-01,14.0,28.0,,67.01375,3.09,0.0,1,1,0,1,1,1
2013-07-02,14.0,29.0,,59.58565217391305,2.57,0.0,1,1,0,1,1,1
2013-07-03,15.0,31.0,,61.86000000000002,4.12,0.0,1,1,0,1,1,1
2013-07-04,17.0,29.0,,70.67541666666666,3.09,0.0,1,1,0,1,1,1
2013-07-05,16.0,26.0,,70.18043478260871,2.57,0.0,1,1,0,1,1,1
2013-07-06,16.0,24.0,,79.27624999999999,3.3449999999999998,0.0,1,1,0,1,1,1
2013-07-07,13.0,25.0,,64.37928571428573,1.8,0.0,1,1,0,1,1,1
2013-07-08,17.0,24.0,,76.06777777777776,2.06,0.0,1,1,0,1,1,1
2013-07-09,,,,,,0.0,0,0,0,0,0,1
2013-07-10,,,,,,0.0,0,0,0,0,0,1
2013-07-11,-17.0,34.0,,75.10842105263157,4.63,0.0,1,1,0,1,1,1
2013-07-12,20.0,29.0,,59.106521739130436,2.06,0.0,1,1,0,1,1,1
2013-07-13,17.0,31.0,,67.70909090909093,4.375,0.0,1,1,0,1,1,1
2013-07-14,10.0,19.0,,81.88913043478261,1.54,0.0,1,1,0,1,1,1
2013-07-15,14.0,27.0,,80.9190909090909,4.885,0.0,1,1,0,1,1,1
2013-07-16,13.0,22.0,,80.47272727272728,4.375,0.0,1,1,0,1,1,1
2013-07-17,13.0,21.0,,84.81916666666666,2.315,0.0,1,1,0,1,1,1
2013-07-18,13.0,28.0,,78.33833333333331,2.06,0.0,1,1,0,1,1,1
2013-07-19,13.0,28.0,,70.11166666666668,2.57,0.0,1,1,0,1,1,1
2013-07-20,13.0,22.0,,88.26214285714286,1.8,0.0,1,1,0,1,1,1
2013-07-21,,,,,,0.0,0,0,0,0,0,1
2013-07-22,,,,,,0.0,0,0,0,0,0,1
2013-07-23,,,,,,0.0,0,0,0,0,0,1
2013-07-24,19.0,19.0,,72.78,0.0,0.0,1,1,0,1,1,1
2013-07-25,,,,,,0.0,0,0,0,0,0,1
2013-07-26,,,,,,0.0,0,0,0,0,0,1
2013-07-27,,,,,,0.0,0,0,0,0,0,1
2013-07-28,10.0,12.0,,78.21666666666665,4.63,0.0,1,1,0,1,1,1
2013-07-29,14.0,15.0,,83.575,2.575,0.0,1,1,0,1,1,1
2013-07-30,14.0,14.0,,82.14,1.54,0.0,1,1,0,1,1,1
2013-07-31,,,,,,0.0,0,0,0,0,0,1
2013-08-01,,,,,,0.0,0,0,0,0,0,1
2013-08-02,20.0,21.0,,54.730000000000004,2.83,0.0,1,1,0,1,1,1
2013-08-03,23.0,23.0,,56.95,4.63,0.0,1,1,0,1,1,1
2013-08-04,,,,,,0.0,0,0,0,0,0,1
2013-08-05,,,,,,0.0,0,0,0,0,0,1
2013-08-06,,,,,,0.0,0,0,0,0,0,1
2013-08-07,11.0,19.0,,64.19500000000001,2.57,0.0,1,1,0,1,1,1
2013-08-08,7.0,21.0,,75.65173913043478,1.03,0.0,1,1,0,1,1,1
2013-08-09,10.0,21.0,,69.68956521739132,2.57,0.0,1,1,0,1,1,1
2013-08-10,11.0,21.0,,80.29125,2.06,0.0,1,1,0,1,1,1
2013-08-11,10.0,23.0,,79.33999999999999,2.06,0.0,1,1,0,1,1,1
