Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2013-06-02,14.0,19.0,,45.78555555555556,6.17,0.0,1,1,0,1,1,1
2013-06-03,7.0,18.0,,78.33238095238094,10.29,0.0,1,1,0,1,1,1
2013-06-04,6.0,14.0,,83.34272727272726,7.72,0.0,1,1,0,1,1,1
2013-06-05,7.0,19.0,,64.42954545454545,1.54,0.0,1,1,0,1,1,1
2013-06-06,9.0,22.0,,60.530909090909105,4.63,0.0,1,1,0,1,1,1
2013-06-07,8.0,23.0,,55.6140909090909,2.06,0.0,1,1,0,1,1,1
2013-06-08,12.0,17.0,,85.10545454545455,3.3449999999999998,0.0,1,1,0,1,1,1
2013-06-09,8.0,24.0,,70.4909090909091,3.8600000000000003,0.0,1,1,0,1,1,1
2013-06-10,10.0,23.0,,69.555,3.09,0.0,1,1,0,1,1,1
2013-06-11,10.0,22.0,,67.45904761904762,3.6,0.0,1,1,0,1,1,1
2013-06-12,12.0,23.0,,77.86047619047619,3.6,0.0,1,1,0,1,1,1
2013-06-13,13.0,24.0,,70.16954545454543,6.43,0.0,1,1,0,1,1,1
2013-06-14,13.0,23.0,,76.47954545454546,5.66,0.0,1,1,0,1,1,1
2013-06-15,8.0,21.0,,71.01086956521738,5.66,0.0,1,1,0,1,1,1
2013-06-16,9.0,21.0,,71.43636363636364,5.66,0.0,1,1,0,1,1,1
2013-06-17,10.0,20.0,,78.75863636363637,1.8,0.0,1,1,0,1,1,1
2013-06-18,12.0,26.0,,64.77227272727269,3.3449999999999998,0.0,1,1,0,1,1,1
2013-06-19,15.0,29.0,,68.79363636363637,5.14,0.0,1,1,0,1,1,1
2013-06-20,14.0,27.0,,74.08142857142859,6.43,0.0,1,1,0,1,1,1
2013-06-21,12.0,23.0,,68.7895238095238,2.83,0.0,1,1,0,1,1,1
2013-06-22,10.0,20.0,,84.52833333333334,2.57,0.0,1,1,0,1,1,1
2013-06-23,,,,,,0.0,0,0,0,0,0,1
2013-06-24,,,,,,0.0,0,0,0,0,0,1
2013-06-25,16.0,24.0,,76.10363636363637,3.6,0.0,1,1,0,1,1,1
2013-06-26,13.0,25.0,,72.84476190476191,3.6,0.0,1,1,0,1,1,1
2013-06-27,12.0,26.0,,67.19181818181815,3.8600000000000003,0.0,1,1,0,1,1,1
2013-06-28,12.0,27.0,,64.26761904761904,3.09,0.0,1,1,0,1,1,1
2013-06-29,11.0,25.0,,67.28571428571429,2.57,0.0,1,1,0,1,1,1
2013-06-30,13.0,25.0,,70.03681818181819,2.57,0.0,1,1,0,1,1,1
2013-07-01,15.0,28.0,,62.63466666666667,2.57,0.0,1,1,0,1,1,1
2013-07-02,17.0,29.0,,58.37863636363638,2.06,0.0,1,1,0,1,1,1
2013-07-03,17.0,31.0,,61.347142857142856,4.12,0.0,1,1,0,1,1,1
2013-07-04,17.0,29.0,,68.99608695652175,3.6,0.0,1,1,0,1,1,1
2013-07-05,17.0,27.0,,67.2104761904762,3.6,0.0,1,1,0,1,1,1
2013-07-06,16.0,23.0,,77.05409090909092,3.86,0.0,1,1,0,1,1,1
2013-07-07,13.0,26.0,,68.53363636363636,1.8,0.0,1,1,0,1,1,1
2013-07-08,16.0,25.0,,78.01136363636364,2.83,0.0,1,1,0,1,1,1
2013-07-09,14.0,22.0,,82.05181818181818,2.315,0.0,1,1,0,1,1,1
2013-07-10,11.0,28.0,,64.74049999999998,1.2850000000000001,0.0,1,1,0,1,1,1
2013-07-11,17.0,32.0,,68.97095238095237,3.6,0.0,1,1,0,1,1,1
2013-07-12,19.0,30.0,,63.00318181818181,1.54,0.0,1,1,0,1,1,1
2013-07-13,17.0,29.0,,72.47380952380955,5.14,0.0,1,1,0,1,1,1
