Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2013-06-02,14.0,18.0,,43.37666666666666,6.17,0.0,1,1,0,1,1,1
2013-06-03,5.0,17.0,,76.82199999999997,8.75,0.0,1,1,0,1,1,1
2013-06-04,6.0,14.0,,82.9531818181818,6.43,0.0,1,1,0,1,1,1
2013-06-05,6.0,18.0,,61.46681818181819,1.03,0.0,1,1,0,1,1,1
2013-06-06,7.0,22.0,,62.3268181818182,3.6,0.0,1,1,0,1,1,1
2013-06-07,9.0,22.0,,53.92636363636362,0.0,0.0,1,1,0,1,1,1
2013-06-08,12.0,16.0,,87.01954545454545,3.6,0.0,1,1,0,1,1,1
2013-06-09,10.0,23.0,,69.81318181818182,2.83,0.0,1,1,0,1,1,1
2013-06-10,9.0,21.0,,78.49347826086957,3.6,0.0,1,1,0,1,1,1
2013-06-11,8.0,20.0,,68.83714285714285,2.06,0.0,1,1,0,1,1,1
2013-06-12,12.0,20.0,,82.76047619047618,2.57,0.0,1,1,0,1,1,1
2013-06-13,14.0,23.0,,72.34863636363636,6.945,0.0,1,1,0,1,1,1
2013-06-14,11.0,22.0,,80.13772727272726,5.14,0.0,1,1,0,1,1,1
2013-06-15,9.0,20.0,,73.51636363636364,7.72,0.0,1,1,0,1,1,1
2013-06-16,11.0,19.0,,74.28571428571428,5.66,0.0,1,1,0,1,1,1
2013-06-17,10.0,19.0,,84.8218181818182,2.06,0.0,1,1,0,1,1,1
2013-06-18,10.0,24.0,,70.51695652173912,4.12,0.0,1,1,0,1,1,1
2013-06-19,15.0,27.0,,66.26,6.17,0.0,1,1,0,1,1,1
2013-06-20,13.0,27.0,,79.5561904761905,8.23,0.0,1,1,0,1,1,1
2013-06-21,10.0,22.0,,75.10428571428571,1.03,0.0,1,1,0,1,1,1
2013-06-22,10.0,21.0,,79.42045454545453,2.06,0.0,1,1,0,1,1,1
2013-06-23,12.0,21.0,,76.78333333333333,3.6,0.0,1,1,0,1,1,1
2013-06-24,11.0,25.0,,66.14571428571428,1.03,0.0,1,1,0,1,1,1
2013-06-25,16.0,24.0,,77.60150000000002,3.6,0.0,1,1,0,1,1,1
2013-06-26,14.0,24.0,,68.38571428571427,2.57,0.0,1,1,0,1,1,1
2013-06-27,12.0,26.0,,62.216363636363624,4.375,0.0,1,1,0,1,1,1
2013-06-28,12.0,25.0,,67.35857142857142,2.57,0.0,1,1,0,1,1,1
2013-06-29,12.0,23.0,,72.5222727272727,2.57,0.0,1,1,0,1,1,1
2013-06-30,12.0,24.0,,74.76,3.085,0.0,1,1,0,1,1,1
2013-07-01,14.0,27.0,,66.46,3.6,0.0,1,1,0,1,1,1
2013-07-02,15.0,28.0,,64.61318181818184,2.57,0.0,1,1,0,1,1,1
2013-07-03,15.0,31.0,,66.21809523809524,3.6,0.0,1,1,0,1,1,1
2013-07-04,16.0,28.0,,71.09681818181816,3.8600000000000003,0.0,1,1,0,1,1,1
2013-07-05,15.0,23.0,,81.49272727272728,3.605,0.0,1,1,0,1,1,1
2013-07-06,15.0,21.0,,83.38727272727272,4.12,0.0,1,1,0,1,1,1
2013-07-07,12.0,25.0,,70.73045454545455,1.54,0.0,1,1,0,1,1,1
2013-07-08,14.0,23.0,,81.41636363636364,2.06,0.0,1,1,0,1,1,1
2013-07-09,13.0,21.0,,83.68428571428572,2.06,0.0,1,1,0,1,1,1
2013-07-10,12.0,26.0,,71.24100000000001,1.03,0.0,1,1,0,1,1,1
2013-07-11,16.0,30.0,,76.73952380952382,4.12,0.0,1,1,0,1,1,1
2013-07-12,17.0,27.0,,64.44090909090909,1.2850000000000001,0.0,1,1,0,1,1,1
2013-07-13,15.0,28.0,,77.92761904761905,2.57,0.0,1,1,0,1,1,1
2013-07-14,10.0,17.0,,85.69636363636363,2.57,0.0,1,1,0,1,1,1
2013-07-15,13.0,25.0,,85.3942857142857,6.17,0.0,1,1,0,1,1,1
2013-07-16,12.0,23.0,,74.53272727272726,3.6,0.0,1,1,0,1,1,1
2013-07-17,12.0,19.0,,84.5681818181818,2.0549999999999997,0.0,1,1,0,1,1,1
2013-07-18,13.0,26.0,,80.5538888888889,3.6,0.0,1,1,0,1,1,1
2013-07-19,13.0,28.0,,69.4,3.09,0.0,1,1,0,1,1,1
2013-07-20,12.0,21.0,,90.72923076923077,0.0,0.0,1,1,0,1,1,1
2013-07-21,,,,,,0.0,0,0,0,0,0,1
2013-07-22,,,,,,0.0,0,0,0,0,0,1
2013-07-23,,,,,,0.0,0,0,0,0,0,1
2013-07-24,16.0,16.0,,82.4,0.0,0.0,1,1,0,1,1,1
2013-07-25,,,,,,0.0,0,0,0,0,0,1
2013-07-26,,,,,,0.0,0,0,0,0,0,1
2013-07-27,,,,,,0.0,0,0,0,0,0,1
2013-07-28,11.0,13.0,,76.64333333333333,7.2,0.0,1,1,0,1,1,1
2013-07-29,12.0,13.0,,93.63333333333333,0.0,0.0,1,1,0,1,1,1
2013-07-30,,,,,,0.0,0,0,0,0,0,1
2013-07-31,,,,,,0.0,0,0,0,0,0,1
2013-08-01,,,,,,0.0,0,0,0,0,0,1
2013-08-02,17.0,19.0,,68.56,3.5999999999999996,0.0,1,1,0,1,1,1
2013-08-03,22.0,22.0,,53.1,7.72,0.0,1,1,0,1,1,1
2013-08-04,,,,,,0.0,0,0,0,0,0,1
2013-08-05,,,,,,0.0,0,0,0,0,0,1
2013-08-06,,,,,,0.0,0,0,0,0,0,1
2013-08-07,11.0,16.0,,75.65299999999999,0.515,0.0,1,1,0,1,1,1
2013-08-08,7.0,19.0,,80.32409090909093,1.03,0.0,1,1,0,1,1,1
2013-08-09,8.0,20.0,,75.67619047619048,2.57,0.0,1,1,0,1,1,1
2013-08-10,10.0,20.0,,83.93772727272726,2.315,0.0,1,1,0,1,1,1
2013-08-11,7.0,22.0,,79.5040909090909,1.7999999999999998,0.0,1,1,0,1,1,1
2013-08-12,11.0,24.0,,69.61454545454545,0.0,0.0,1,1,0,1,1,1
2013-08-13,11.0,23.0,,76.47454545454545,2.57,0.0,1,1,0,1,1,1
2013-08-14,13.0,26.0,,77.50500000000001,3.3449999999999998,0.0,1,1,0,1,1,1
2013-08-15,12.0,28.0,,79.7218181818182,0.0,0.0,1,1,0,1,1,1
2013-08-16,14.0,33.0,,66.04863636363638,1.54,0.0,1,1,0,1,1,1
2013-08-17,16.0,30.0,,69.49045454545455,2.06,0.0,1,1,0,1,1,1
2013-08-18,14.0,30.0,,70.34227272727273,0.0,0.0,1,1,0,1,1,1
2013-08-19,14.0,31.0,,52.51818181818181,2.06,0.0,1,1,0,1,1,1
2013-08-20,15.0,30.0,,56.55681818181816,1.8,0.0,1,1,0,1,1,1
2013-08-21,11.0,25.0,,59.39954545454543,2.57,0.0,1,1,0,1,1,1
2013-08-22,9.0,26.0,,53.823181818181816,1.54,0.0,1,1,0,1,1,1
2013-08-23,15.0,30.0,,64.41409090909092,3.09,0.0,1,1,0,1,1,1
2013-08-24,18.0,30.0,,64.42363636363636,1.54,0.0,1,1,0,1,1,1
2013-08-25,13.0,31.0,,55.16954545454544,0.0,0.0,1,1,0,1,1,1
2013-08-26,17.0,31.0,,60.43304347826089,1.54,0.0,1,1,0,1,1,1
2013-08-27,16.0,32.0,,57.592727272727274,1.2850000000000001,0.0,1,1,0,1,1,1
2013-08-28,16.0,32.0,,62.45863636363638,1.54,0.0,1,1,0,1,1,1
2013-08-29,15.0,31.0,,65.90956521739132,0.0,0.0,1,1,0,1,1,1
2013-08-30,16.0,32.0,,60.309545454545464,1.54,0.0,1,1,0,1,1,1
2013-08-31,14.0,31.0,,63.44500000000001,5.66,0.0,1,1,0,1,1,1
2013-09-01,9.0,21.0,,80.491875,0.515,0.0,1,1,0,1,1,1
2013-09-02,12.0,31.0,,66.31636363636363,3.6,0.0,1,1,0,1,1,1
2013-09-03,13.0,31.0,,52.10272727272727,1.03,0.0,1,1,0,1,1,1
2013-09-04,13.0,27.0,,68.63318181818182,4.885,0.0,1,1,0,1,1,1
2013-09-05,16.0,32.0,,64.99636363636365,2.83,0.0,1,1,0,1,1,1
2013-09-06,20.0,31.0,,63.106363636363646,1.545,0.0,1,1,0,1,1,1
2013-09-07,13.0,28.0,,75.89636363636363,5.4,0.0,1,1,0,1,1,1
2013-09-08,13.0,18.0,,92.49909090909092,3.6,0.0,1,1,0,1,1,1
2013-09-09,13.0,18.0,,94.73045454545455,0.0,0.0,1,1,0,1,1,1
2013-09-10,11.0,24.0,,76.53545454545454,3.09,0.0,1,1,0,1,1,1
2013-09-11,10.0,23.0,,61.588636363636375,1.03,0.0,1,1,0,1,1,1
2013-09-12,6.0,21.0,,67.95944444444446,0.0,0.0,1,1,0,1,1,1
2013-09-13,11.0,29.0,,61.407000000000004,4.12,0.0,1,1,0,1,1,1
2013-09-14,13.0,22.0,,64.89111111111112,5.915,0.0,1,1,0,1,1,1
2013-09-15,4.0,20.0,,71.29454545454544,2.83,0.0,1,1,0,1,1,1
2013-09-16,8.0,24.0,,68.33045454545454,5.4,0.0,1,1,0,1,1,1
2013-09-17,11.0,26.0,,63.603636363636355,2.06,0.0,1,1,0,1,1,1
2013-09-18,13.0,23.0,,82.43521739130436,2.06,0.0,1,1,0,1,1,1
2013-09-19,7.0,12.0,,91.66136363636363,5.14,0.0,1,1,0,1,1,1
2013-09-20,2.0,18.0,,73.3409090909091,0.0,0.0,1,1,0,1,1,1
2013-09-21,6.0,23.0,,60.03217391304348,5.14,0.0,1,1,0,1,1,1
2013-09-22,7.0,24.0,,64.14818181818183,4.63,0.0,1,1,0,1,1,1
2013-09-23,10.0,20.0,,67.71772727272727,0.515,0.0,1,1,0,1,1,1
