Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2006-12-16,-3.11,-0.5,,60.04,,0.0,1,1,0,1,0,1
2006-12-17,-19.22,-1.89,,75.375,,0.0,1,1,0,1,0,1
2006-12-18,-19.28,4.44,,75.04166666666667,,0.0,1,1,0,1,0,1
2006-12-19,-11.78,8.11,,61.520833333333336,,0.0,1,1,0,1,0,1
2006-12-20,-13.89,5.17,,80.77083333333333,,0.0,1,1,0,1,0,1
2006-12-21,-13.78,3.0,,80.89583333333333,,0.0,1,1,0,1,0,1
2006-12-22,-7.44,4.0,,71.73958333333333,,0.0,1,1,0,1,0,1
2006-12-23,-10.5,2.83,,75.26041666666667,,0.0,1,1,0,1,0,1
2006-12-24,-3.72,6.33,,57.770833333333336,,0.0,1,1,0,1,0,1
2006-12-25,-8.33,5.33,,65.8125,,0.0,1,1,0,1,0,1
2006-12-26,-11.44,5.11,,86.82291666666667,,0.0,1,1,0,1,0,1
2006-12-27,-4.94,3.94,,90.27083333333333,,0.0,1,1,0,1,0,1
2006-12-28,-4.17,0.56,,92.47916666666667,,0.0,1,1,0,1,0,1
2006-12-29,-7.78,-3.83,,89.34375,,0.0,1,1,0,1,0,1
2006-12-30,-20.28,-6.5,,88.125,,0.0,1,1,0,1,0,1
2006-12-31,-20.72,-7.89,,84.36458333333333,,0.0,1,1,0,1,0,1
2007-01-01,-21.67,-6.28,,83.48958333333333,,0.0,1,1,0,1,0,1
2007-01-02,-10.56,10.61,,69.46875,,0.0,1,1,0,1,0,1
2007-01-03,4.11,11.61,,56.270833333333336,,0.0,1,1,0,1,0,1
2007-01-04,-0.5,4.94,,85.13541666666667,,0.0,1,1,0,1,0,1
2007-01-05,-2.61,2.06,,69.38541666666667,,0.0,1,1,0,1,0,1
2007-01-06,-5.0,4.56,,56.71875,,0.0,1,1,0,1,0,1
2007-01-07,-9.33,6.44,,64.9375,,0.0,1,1,0,1,0,1
2007-01-08,-1.5,5.44,,63.264367816091955,,0.0,1,1,0,1,0,1
2007-01-09,-12.17,1.44,,73.92134831460675,,0.0,1,1,0,1,0,1
2007-01-10,-10.72,7.44,,58.333333333333336,,0.0,1,1,0,1,0,1
2007-01-11,-20.94,-10.83,,67.03125,,0.0,1,1,0,1,0,1
2007-01-12,-27.5,-9.94,,69.15625,,0.0,1,1,0,1,0,1
2007-01-13,-25.06,-9.83,,74.0625,,0.0,1,1,0,1,0,1
2007-01-14,-24.56,-11.39,,73.83333333333333,,0.0,1,1,0,1,0,1
2007-01-15,-24.94,-4.33,,76.46875,,0.0,1,1,0,1,0,1
2007-01-16,-17.28,6.11,,76.53125,,0.0,1,1,0,1,0,1
2007-01-17,-15.33,-0.94,,79.14583333333333,,0.0,1,1,0,1,0,1
2007-01-18,-18.39,-1.78,,84.34375,,0.0,1,1,0,1,0,1
2007-01-19,-17.33,-0.94,,83.92708333333333,,0.0,1,1,0,1,0,1
2007-01-20,-8.94,-0.17,,87.46875,,0.0,1,1,0,1,0,1
2007-01-21,-15.28,-1.61,,93.26041666666667,,0.0,1,1,0,1,0,1
