Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2007-05-28,10.56,12.22,,64.80000000000001,6.325,562.9000000000001,1,1,0,1,1,1
2007-05-29,4.44,10.56,,86.37916666666665,6.145,2323.6,1,1,0,1,1,1
2007-05-30,6.67,12.22,,87.14999999999999,4.0,3009.8999999999996,1,1,0,1,1,1
2007-05-31,3.33,16.11,,83.42916666666667,2.745,3813.9999999999995,1,1,0,1,1,1
2007-06-01,4.44,18.33,,78.65416666666667,2.0549999999999997,5109.5,1,1,0,1,1,1
2007-06-02,6.67,18.89,,79.32777777777777,1.99,2673.4999999999995,1,1,0,1,1,1
2007-06-03,,,,,,0.0,0,0,0,0,0,1
2007-06-04,21.67,22.22,,49.85,2.57,3111.8,1,1,0,1,1,1
2007-06-05,12.78,24.44,,67.89583333333333,3.2199999999999998,4309.700000000001,1,1,0,1,1,1
2007-06-06,7.22,17.22,,81.94166666666666,3.55,2024.7,1,1,0,1,1,1
2007-06-07,4.44,13.89,,79.72500000000001,7.04,4075.7000000000003,1,1,0,1,1,1
2007-06-08,4.44,17.22,,66.33809523809525,2.73,2997.0,1,1,0,1,1,1
2007-06-09,7.22,21.67,,59.94166666666664,2.505,4829.9,1,1,0,1,1,1
2007-06-10,11.67,21.11,,62.62083333333334,1.88,3171.1,1,1,0,1,1,1
2007-06-11,10.56,20.0,,67.78750000000001,1.81,4636.8,1,1,0,1,1,1
2007-06-12,6.67,21.11,,62.96666666666666,2.235,5822.299999999999,1,1,0,1,1,1
2007-06-13,5.0,21.11,,52.40833333333333,2.81,5791.400000000001,1,1,0,1,1,1
2007-06-14,9.44,19.44,,64.0391304347826,2.06,4249.299999999999,1,1,0,1,1,1
2007-06-15,3.33,19.44,,65.25416666666668,2.015,5486.5999999999985,1,1,0,1,1,1
2007-06-16,8.33,21.67,,70.90000000000002,3.24,6155.6,1,1,0,1,1,1
2007-06-17,10.56,18.89,,73.4625,5.345000000000001,4879.400000000001,1,1,0,1,1,1
2007-06-18,6.67,16.67,,61.60833333333334,5.475,4840.0,1,1,0,1,1,1
2007-06-19,5.56,22.22,,59.262499999999996,1.4300000000000002,6163.900000000001,1,1,0,1,1,1
2007-06-20,11.11,26.67,,56.32500000000001,1.855,6107.0,1,1,0,1,1,1
2007-06-21,12.22,26.67,,65.36666666666669,2.2800000000000002,5692.3,1,1,0,1,1,1
2007-06-22,12.22,27.78,,56.7125,2.2800000000000002,6252.0,1,1,0,1,1,1
2007-06-23,12.22,26.67,,49.375,2.77,6306.2,1,1,0,1,1,1
2007-06-24,9.44,23.89,,70.37391304347825,2.23,4229.500000000001,1,1,0,1,1,1
2007-06-25,10.56,20.56,,74.20416666666667,3.42,4828.4,1,1,0,1,1,1
2007-06-26,0.56,18.33,,42.41250000000001,2.395,6890.599999999999,1,1,0,1,1,1
2007-06-27,6.11,23.33,,51.97083333333333,2.28,6556.2,1,1,0,1,1,1
2007-06-28,10.56,28.33,,59.683333333333316,4.4,6000.899999999999,1,1,0,1,1,1
2007-06-29,14.44,30.0,,52.90833333333334,2.435,5844.299999999999,1,1,0,1,1,1
2007-06-30,11.11,26.67,,61.03333333333333,2.01,5551.3,1,1,0,1,1,1
2007-07-01,13.89,26.67,,67.49166666666666,1.81,5739.700000000001,1,1,0,1,1,1
2007-07-02,13.33,30.56,,60.0,2.64,5888.9,1,1,0,1,1,1
2007-07-03,9.44,28.33,,55.991666666666674,1.74,6257.9,1,1,0,1,1,1
2007-07-04,11.67,28.33,,47.029166666666676,2.55,6511.0,1,1,0,1,1,1
2007-07-05,11.67,31.11,,50.45454545454547,2.145,5566.8,1,1,0,1,1,1
2007-07-06,18.33,35.0,,39.304166666666674,3.1100000000000003,5187.8,1,1,0,1,1,1
2007-07-07,18.33,27.78,,44.320833333333326,3.0599999999999996,4270.5,1,1,0,1,1,1
2007-07-08,12.78,25.56,,75.60416666666666,2.81,4448.0,1,1,0,1,1,1
2007-07-09,15.56,25.56,,56.24583333333333,3.91,6069.8,1,1,0,1,1,1
2007-07-10,5.0,21.67,,63.004166666666656,1.9449999999999998,6212.2,1,1,0,1,1,1
2007-07-11,9.44,25.56,,48.32499999999999,2.23,6453.900000000001,1,1,0,1,1,1
2007-07-12,11.67,28.89,,42.949999999999996,2.485,6415.7,1,1,0,1,1,1
2007-07-13,13.33,31.11,,39.112500000000004,2.485,6409.2,1,1,0,1,1,1
2007-07-14,17.22,31.11,,36.11666666666666,2.705,4914.5,1,1,0,1,1,1
2007-07-15,14.44,35.56,,36.975,2.3049999999999997,5070.8,1,1,0,1,1,1
2007-07-16,18.33,35.0,,37.166666666666664,2.685,5686.7,1,1,0,1,1,1
2007-07-17,20.0,31.67,,35.141666666666666,2.55,3710.8,1,1,0,1,1,1
2007-07-18,16.67,30.56,,56.933333333333344,3.0,4899.2,1,1,0,1,1,1
2007-07-19,20.0,35.0,,48.23333333333333,6.79,5977.9000000000015,1,1,0,1,1,1
2007-07-20,12.78,35.0,,44.36666666666667,2.635,5724.900000000001,1,1,0,1,1,1
2007-07-21,16.67,34.44,,30.566666666666677,2.975,5561.5,1,1,0,1,1,1
2007-07-22,16.67,33.33,,38.15217391304348,2.55,4870.6,1,1,0,1,1,1
2007-07-23,17.78,36.67,,36.50833333333333,2.615,5435.3,1,1,0,1,1,1
2007-07-24,19.44,33.89,,38.00000000000001,3.3499999999999996,3327.1,1,1,0,1,1,1
2007-07-25,16.67,27.22,,58.645833333333314,3.065,3875.7999999999997,1,1,0,1,1,1
2007-07-26,13.33,27.22,,62.30833333333333,1.81,4839.1,1,1,0,1,1,1
2007-07-27,16.11,30.56,,55.09583333333334,3.71,5624.9,1,1,0,1,1,1
2007-07-28,17.22,33.33,,35.36666666666667,2.39,4980.0,1,1,0,1,1,1
2007-07-29,15.56,33.89,,29.724999999999994,2.3049999999999997,4691.9,1,1,0,1,1,1
2007-07-30,19.44,33.89,,23.28333333333333,2.46,4508.8,1,1,0,1,1,1
2007-07-31,18.89,33.33,,25.254166666666666,2.95,5430.7,1,1,0,1,1,1
2007-08-01,11.11,30.0,,43.929166666666674,2.505,4614.499999999999,1,1,0,1,1,1
2007-08-02,14.44,28.89,,35.92083333333334,4.2,5380.6,1,1,0,1,1,1
2007-08-03,18.33,32.22,,31.816666666666663,2.46,4112.9,1,1,0,1,1,1
2007-08-04,12.78,30.56,,26.570833333333336,2.255,4850.7,1,1,0,1,1,1
2007-08-05,12.22,27.22,,39.858333333333334,2.79,4834.2,1,1,0,1,1,1
