"","ID","CDLCode","CellCount","TotalCellCount","Percent","CDLYear","Buffer","CDLCategory","Class","StationL_1","StationNam","Elevation","Longitude","Latitude"
"1",1,21,3,10,30,"2007","100m","Barley","Crop","BFAM","Blackfeet-Seville Colony, MT (BFAM)","MT",-112.5886993,48.67539978
"2",1,176,6,10,60,"2007","100m","Grassland/Pasture","Grassland/Pasture","BFAM","Blackfeet-Seville Colony, MT (BFAM)","MT",-112.5886993,48.67539978
"3",1,195,1,10,10,"2007","100m","Herbaceous Wetlands","Wetland","BFAM","Blackfeet-Seville Colony, MT (BFAM)","MT",-112.5886993,48.67539978
"4",2,61,2,9,22,"2007","100m","Fallow/Idle Cropland","Fallow Cropland","BFTM","Big Flat - Turner, MT (BFTM)","MT",-108.5636673,48.83568192
"5",2,176,7,9,78,"2007","100m","Grassland/Pasture","Grassland/Pasture","BFTM","Big Flat - Turner, MT (BFTM)","MT",-108.5636673,48.83568192
"6",3,21,8,10,80,"2007","100m","Barley","Crop","BOMT","Broken-O Ranch, MT (BOMT)","MT",-112.2359009,47.51954651
"7",3,23,1,10,10,"2007","100m","Spring Wheat","Crop","BOMT","Broken-O Ranch, MT (BOMT)","MT",-112.2359009,47.51954651
"8",3,190,1,10,10,"2007","100m","Woody Wetlands","Wetland","BOMT","Broken-O Ranch, MT (BOMT)","MT",-112.2359009,47.51954651
"9",4,21,1,10,10,"2007","100m","Barley","Crop","GFMT","Greenfields-Fairfield, MT (GFMT)","MT",-111.8190994,47.65853119
"10",4,111,1,10,10,"2007","100m","Open Water","Open Water","GFMT","Greenfields-Fairfield, MT (GFMT)","MT",-111.8190994,47.65853119
"11",4,142,1,10,10,"2007","100m","Evergreen Forest","Forest","GFMT","Greenfields-Fairfield, MT (GFMT)","MT",-111.8190994,47.65853119
"12",4,176,3,10,30,"2007","100m","Grassland/Pasture","Grassland/Pasture","GFMT","Greenfields-Fairfield, MT (GFMT)","MT",-111.8190994,47.65853119
"13",4,190,3,10,30,"2007","100m","Woody Wetlands","Wetland","GFMT","Greenfields-Fairfield, MT (GFMT)","MT",-111.8190994,47.65853119
"14",4,195,1,10,10,"2007","100m","Herbaceous Wetlands","Wetland","GFMT","Greenfields-Fairfield, MT (GFMT)","MT",-111.8190994,47.65853119
"15",5,36,6,10,60,"2007","100m","Alfalfa","Crop","GLGM","Glasgow, MT (GLGM)","MT",-106.6093292,48.14320374
"16",5,121,2,10,20,"2007","100m","Developed/Open Space","Developed/Open Space","GLGM","Glasgow, MT (GLGM)","MT",-106.6093292,48.14320374
"17",5,176,1,10,10,"2007","100m","Grassland/Pasture","Grassland/Pasture","GLGM","Glasgow, MT (GLGM)","MT",-106.6093292,48.14320374
"18",5,190,1,10,10,"2007","100m","Woody Wetlands","Wetland","GLGM","Glasgow, MT (GLGM)","MT",-106.6093292,48.14320374
"19",6,36,1,9,11,"2007","100m","Alfalfa","Crop","HRLM","Harlem, MT (HRLM)","MT",-108.8346176,48.54356766
"20",6,152,2,9,22,"2007","100m","Shrubland","Shrubland","HRLM","Harlem, MT (HRLM)","MT",-108.8346176,48.54356766
"21",6,176,6,9,67,"2007","100m","Grassland/Pasture","Grassland/Pasture","HRLM","Harlem, MT (HRLM)","MT",-108.8346176,48.54356766
"22",7,176,12,12,100,"2007","100m","Grassland/Pasture","Grassland/Pasture","MATM","Malta, MT (MATM)","MT",-107.7764969,48.37401199
"23",8,23,5,12,42,"2007","100m","Spring Wheat","Crop","MWSM","Moccasin, MT (MWSM)","MT",-109.9507523,47.05853653
"24",8,24,1,12,8,"2007","100m","Winter Wheat","Crop","MWSM","Moccasin, MT (MWSM)","MT",-109.9507523,47.05853653
"25",8,61,1,12,8,"2007","100m","Fallow/Idle Cropland","Fallow Cropland","MWSM","Moccasin, MT (MWSM)","MT",-109.9507523,47.05853653
"26",8,111,5,12,42,"2007","100m","Open Water","Open Water","MWSM","Moccasin, MT (MWSM)","MT",-109.9507523,47.05853653
"27",9,36,6,10,60,"2007","100m","Alfalfa","Crop","TRFM","Teton River-Farmington, MT (TRFM)","MT",-112.1596756,47.90052032
"28",9,176,3,10,30,"2007","100m","Grassland/Pasture","Grassland/Pasture","TRFM","Teton River-Farmington, MT (TRFM)","MT",-112.1596756,47.90052032
"29",9,195,1,10,10,"2007","100m","Herbaceous Wetlands","Wetland","TRFM","Teton River-Farmington, MT (TRFM)","MT",-112.1596756,47.90052032
"30",10,121,1,12,8,"2007","100m","Developed/Open Space","Developed/Open Space","KGFA","Malmstrom Air Force Base","1075.0296",-111.18333,47.5
"31",10,122,4,12,33,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","KGFA","Malmstrom Air Force Base","1075.0296",-111.18333,47.5
"32",10,123,2,12,17,"2007","100m","Developed/Med Intensity","Developed/Med Intensity","KGFA","Malmstrom Air Force Base","1075.0296",-111.18333,47.5
"33",10,176,5,12,42,"2007","100m","Grassland/Pasture","Grassland/Pasture","KGFA","Malmstrom Air Force Base","1075.0296",-111.18333,47.5
"34",11,121,6,10,60,"2007","100m","Developed/Open Space","Developed/Open Space","KSDY","Sidney-Richland","605.028",-104.2,47.7
"35",11,122,1,10,10,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","KSDY","Sidney-Richland","605.028",-104.2,47.7
"36",11,176,3,10,30,"2007","100m","Grassland/Pasture","Grassland/Pasture","KSDY","Sidney-Richland","605.028",-104.2,47.7
"37",12,21,10,10,100,"2007","100m","Barley","Crop","BOMT","BROKEN O RANCH","1185.672",-112.24694,47.52056
"38",13,21,7,12,58,"2007","100m","Barley","Crop","GFMT","GREENFIELDS","1164.336",-111.8125,47.65833
"39",13,176,3,12,25,"2007","100m","Grassland/Pasture","Grassland/Pasture","GFMT","GREENFIELDS","1164.336",-111.8125,47.65833
